Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.toe_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.toe_angle_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
317,1227.64,1816.21,1578.96,0.675935,80.2582,0,50.1806,1469.07,62.9931,3.3725,52.5051,79.0609,18.765,262.827,0,139.145,776.098,242.986,1.50344,204.558,260.372,23.232,0.126468,0,0.0730814,1208.03,0.146489,0.607064,1.02519,0.0257404,10.5314,
318,1227.64,1955.26,2112.56,0.627863,74.0573,0,50.615,1518.29,52.3136,3.43921,164.014,72.8065,19.7305,236.902,0,150.514,916.661,211.287,2.19777,816.802,231.232,26.6106,0.126468,0,0.0730814,1208.03,0.146489,0.320872,1.02519,0.0257404,10.5314,
319,1227.64,1955.89,2257.8,0.627662,67.4508,0,47.5092,1496.99,57.2548,3.32484,197.346,66.8207,19.1919,242.305,0,150.202,880.231,212.532,1.38128,1158.13,239.88,25.4491,0.126468,0,0.0730814,1208.03,0.129441,0.856473,0.983515,0.0257404,5.70275,
320,1227.64,1858.91,1865.83,0.660408,71.8692,0,61.2454,1437.02,47.712,3.36595,148.597,71.3007,17.7966,230.834,0,176.232,749.795,171.633,1.82455,885.268,229.757,21.9754,0.126468,0,0.00365468,1208.03,0.146489,1.32499,0.983515,0.0257404,10.5314,
321,1227.64,2264.14,3837.37,0.54221,116.74,0,51.6025,1450.25,117.787,3.39174,390.994,115.752,17.6169,361.462,0,149.526,781.282,358.446,1.84741,2469.95,359.024,21.378,0.126468,0,0.00365468,1208.03,0.157813,0.532513,0.983515,0.0257404,3.07234,
322,1227.64,1745.16,1733.99,0.703452,65.2564,0,37.3088,1438.34,73.8652,3.27282,46.1716,63.5541,17.3924,249.308,0,132.831,810.914,308.046,1.64776,389.536,244.384,22.3951,0.126468,0,0.00365468,1208.03,0.0957731,0.36164,0.983515,0.0257404,10.5314,
323,1227.64,1789.29,1647.77,0.686102,62.7652,0,38.6844,1482.13,67.8386,3.20523,55.2351,61.2413,18.1996,236.446,0,124.002,863.881,265.146,1.59616,177.261,233.167,24.0406,0.126468,0,0.00365468,1208.03,0.136103,0.518101,0.983515,0.0257404,10.5314,
324,1227.64,1731.84,1462.86,0.708863,57.4727,0,36.352,1415.66,90.8622,3.31853,54.48,57.5124,16.1805,197.501,0,115.184,708.14,302.865,1.78716,283.788,196.584,18.4715,0.126468,0,0.00365468,1208.03,0.157813,0.0499766,0.983515,0.0257404,10.5314,
325,1227.64,1866.8,1806.04,0.657617,90.368,0,63.9138,1404.95,103.1,3.20724,95.1806,89.3832,16.6929,290.303,0,173.959,630.204,292.179,1.40315,336.144,289.222,18.3829,0.126468,0,0.00365468,1208.03,0.157813,1.04098,0.983515,0.0257404,1.83647,
326,1227.64,2045.15,3051.2,0.600267,106.817,0,36.6684,1401.02,98.7917,3.20808,277.752,104.36,16.5411,336.633,0,117.547,671.59,327.347,1.67424,2219.12,332.601,18.3851,0.126468,0,0.00365468,1208.03,0.157813,1.05149,0.983515,0.0257404,10.5314,
