Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Roll.rear.roll_center.y.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.roll_center.y.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Roll.rear.roll_center.y.best,Roll.rear.side_view_swing_arm_angle_l.best,
91,229.152,644.508,655.283,0.355546,4.4496,82.9581,63.2906,79.6005,38.2387,172.879,33.6676,169.424,1.7495,93.3849,36.6195,35.0907,48.7191,281.6,48.7776,273.552,2.08165,24.6458,2.84887,31.0972,8.08896,1.11617,10.8014,0.641393,
92,229.152,719.385,832.869,0.318539,4.52128,73.2245,69.0455,83.7348,32.19,214.935,29.3826,212.351,1.86451,76.824,34.4206,31.5759,46.1132,371.483,50.1336,369.488,2.30886,24.6458,2.84887,31.0972,1.55425,1.11617,11.6097,0.641393,
93,229.152,667.507,759.237,0.343296,4.77329,77.1177,75.2063,90.3953,41.4739,175.522,28.4981,174.521,1.95196,96.1226,36.1685,34.5988,70.0799,326.176,46.9418,330.757,2.34813,24.6458,2.84887,31.0972,2.61058,1.11617,11.6246,0.641393,
94,229.152,682.712,694.25,0.33565,4.34868,67.653,65.6739,79.8623,26.5885,205.692,27.6018,205.292,1.62776,55.1023,37.2395,35.04,24.5439,315.136,43.7939,325.347,2.2622,24.6458,2.84887,31.0972,6.74002,1.11617,11.6338,0.641393,
95,229.152,687.762,756.497,0.333185,4.58509,70.3578,66.325,81.5168,32.9917,204.348,25.3692,202.268,1.53407,73.8719,37.1428,36.012,47.8847,341.616,34.0796,335.835,2.34912,24.6458,2.84887,31.0972,5.9414,1.11617,10.9154,0.641393,
96,218.707,723.701,801.473,0.302207,4.86743,75.7815,72.3194,87.8258,46.7045,194.676,51.0878,190.438,1.85314,87.0168,33.0029,30.6231,76.0766,321.255,106.648,313.145,2.34912,24.6458,2.84887,31.0972,5.18389,1.11617,10.8355,0.641393,
97,218.707,795.448,953.16,0.274948,4.73237,92.1485,67.0281,84.6336,45.7289,231.992,44.9549,224.23,1.6951,118.185,36.7841,35.628,72.0707,378.81,116.178,361.957,2.34912,24.6458,2.84887,30.9981,5.18389,1.11617,10.8802,0.641393,
98,218.707,796.786,909.824,0.274487,4.73618,77.5942,71.2587,86.3709,43.556,242.868,29.7239,240.677,1.61804,89.7694,34.5804,32.4194,72.4471,406.333,55.7812,395.501,2.18854,24.6458,2.84887,31.0972,5.18389,1.65062,11.5675,0.641393,
99,218.707,662.786,765.691,0.329981,4.55275,78.9502,66.3523,80.7738,29.1844,189.071,26.3173,187.585,1.67614,91.8363,34.2234,32.278,40.6111,349.158,44.898,335.229,2.18509,24.6458,2.84887,31.0972,5.07349,1.65062,11.8886,0.641393,
100,218.707,651.83,765.312,0.335528,4.94739,73.9841,62.2558,76.3498,42.3032,180.713,31.5077,179.769,1.75385,68.7576,34.8089,33.4108,72.0097,336.548,61.8252,334.027,2.34912,24.6458,3.82824,31.0972,2.63329,1.65062,11.4306,0.641393,
