Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.coil_over_length_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
114,1353.25,2214.25,1761.59,0.611154,4.39327,116.026,1467.41,358.714,0,94.1435,69.1516,91.8382,12.5767,1.83796,305.301,677.65,570.86,0,233.05,159.545,217.104,20.3392,2.21405,0.916672,1194.43,123.367,0,1.09993,10.3178,0.34637,4.07434,
115,1353.25,2558.96,2256.26,0.528827,3.83822,77.6922,1516.31,610.596,0,106.047,124.789,104.409,15.2761,1.62635,218.377,795.607,850.283,0,245.149,229.981,245.195,24.911,0.241212,0.916672,1172.21,124.083,0,1.09993,8.67835,0.34637,4.96579,
116,1353.25,2680.41,2661.56,0.504867,4.20555,141.423,1541.75,545.549,0,163.692,107.853,161.331,14.6042,2.00384,339.21,985.134,882.975,0,359.251,218.867,358.828,27.2134,0.703079,0.940618,1194.46,94.3635,0,1.09993,8.67835,0.34637,4.95157,
117,1353.14,2295.49,2263.03,0.589478,3.53815,74.6992,1500.36,474.982,0,73.4331,81.6631,72.3386,14.4676,0.944597,212.224,918.459,862.242,0,240.364,171.847,226.987,27.4871,0.341886,0.940618,1194.34,128.929,0,1.09993,10.3178,0.34637,4.94595,
118,1352.95,2699.41,2753.52,0.501204,4.35725,135.101,1671.38,466.147,0,149.221,108.295,146.689,18.2161,2.23569,364.807,999.435,791.496,0,337.95,243.825,348.807,28.3932,0.278002,1.01091,1194.24,23.1735,0,1.09993,8.98266,0.346039,4.96579,
119,1352.95,2677.79,3104.09,0.505251,4.46663,139.313,1647.31,456.195,0,157.278,101.338,153.996,17.8888,2.20434,414.712,1135.69,748.633,0,430.394,228.845,421.945,30.9305,1.39732,1.01091,1194.24,129.694,0,1.08862,8.98266,0.346039,4.96579,
120,1352.95,2526.44,2492.24,0.535518,4.21121,95.0346,1596.98,501.457,0,130.57,52.4597,128.437,17.2981,2.01769,302.934,914.761,824.449,0,309.106,115.163,301.169,27.9955,0.148705,0.984347,1194.24,127.421,0,1.08862,8.98266,0.321949,4.98154,
121,1352.79,2501.41,2517.95,0.540809,4.36258,82.2583,1549.52,528.338,0,123.011,78.1184,120.408,15.3993,1.87823,248.718,1052.96,821.618,0,320.598,176.713,314.695,28.1932,0.829356,0.984347,1179.16,130.169,0,1.08862,8.98266,0.321949,4.38751,
122,1352.72,2204.35,2197.04,0.613658,3.96697,58.5473,1479,391.936,0,95.9672,67.0393,94.1083,13.7937,1.38805,191.216,774.478,694.343,0,246.523,184.168,244.18,23.3455,0.803899,0.984347,1194.26,130.704,0,1.08862,8.98266,0.3137,4.99114,
123,1352.72,2241.74,1880.7,0.603423,4.4493,122.943,1377.89,406.3,0,110.054,101.605,108.008,10.4974,2.21486,256.791,483.814,692.257,0,280.728,224.217,277.803,15.1585,0.466308,0.984347,1194.26,130.704,0,1.08862,10.2076,0.3137,4.99114,
