Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.toe_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.roll_center.z.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.toe_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.roll_center.z.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.toe_angle_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.roll_center.z.best,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.motion_ratio_heave_l.best,
157,8.95255,31.3887,53.6429,0.285216,5.62174,4.00257,12.0437,9.19215,0.528525,3.88499,1.56993,29.8056,28.8286,0.965321,0.135179,3.40641,0.225043,0.106759,0.298993,
158,8.95255,42.8166,69.2404,0.209091,7.15225,3.94862,14.9095,16.2676,0.538572,6.37643,1.59114,31.3843,34.063,0.642068,0.0695757,2.91765,0.225043,0.106759,0.238454,
159,8.95239,39.809,66.1925,0.224883,6.73024,3.94094,15.8503,12.656,0.631608,8.3168,1.66057,33.175,34.7975,0.936528,0.246492,2.24965,0.225043,0.105517,0.298819,
160,8.9523,39.7957,71.4,0.224956,6.24501,3.92504,12.4418,16.4911,0.692797,4.71456,1.50567,27.9741,41.7227,1.16425,0.0940369,2.9674,0.225027,0.10503,0.298819,
161,8.9523,44.3936,71.1046,0.201658,6.21322,4.06381,16.2654,17.1692,0.681952,4.61527,1.85524,34.0946,36.2168,1.09817,0.111546,2.83201,0.225027,0.106256,0.298804,
162,8.95226,29.2701,47.7443,0.30585,5.62236,3.86533,11.8565,7.33861,0.587295,4.07956,1.96457,31.1146,24.6527,0.902936,0.148764,2.56919,0.224991,0.106256,0.298795,
163,8.95215,33.3135,55.9196,0.268724,6.60119,3.82048,11.2997,10.9007,0.691379,4.00305,1.21888,25.4234,27.1901,1.19014,4.91044,2.84972,0.224991,0.106256,0.298736,
164,8.95205,39.2654,63.0868,0.227989,6.42888,3.92559,11.0565,17.0134,0.840971,5.0951,1.60381,24.2216,37.4274,1.40923,0.345658,2.81053,0.224991,0.106094,0.298701,
165,8.95205,33.9531,61.4615,0.26366,5.52963,4.0733,12.8359,10.9478,0.566403,4.24055,1.76802,31.3203,33.9368,0.851612,0.0771902,3.40658,0.224991,0.106094,0.298696,
166,8.95182,51.921,87.0175,0.172412,7.33413,4.23026,20.6525,18.9346,0.769488,7.31495,2.19497,39.987,41.3108,1.1336,0.222624,2.22438,0.224991,0.106094,0.298606,
