Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,
293,195.527,374.138,963.016,0.522607,9.78138,35.2793,3.05635,32.3529,22.2636,4.94606,0,81.0084,4.0681,4.37534,36.0286,140.978,31.8669,323.567,19.9136,17.8684,38.5008,3.8155,0,212.225,1.11997,20.5082,327.772,276.254,3.51881,0.380826,0.436829,9.83052,16.3859,4.21009,0,31.7099,3.39625,0.959153,0.907609,88.2298,
294,195.527,387.98,802.263,0.503962,12.7433,23.0972,5.78146,43.6915,22.3762,5.06847,0,96.935,4.24464,2.92054,23.5855,147.536,40.0392,165.46,25.4343,128.683,31.4925,4.06118,0,211.672,1.4873,13.1364,165.326,296.628,3.51881,0.380826,0.436829,9.96845,16.3861,4.21018,0,45.3414,3.89201,0.959153,0.907609,46.5688,
295,195.524,367.156,837.658,0.532536,12.3624,45.6746,3.38255,34.5205,26.977,4.81144,0,55.9503,4.04159,6.90182,46.2033,126.33,42.1152,269.164,15.8332,28.7583,51.2795,2.8177,0,80.6789,0.959686,26.6158,267.326,216.494,3.53662,0.380826,0.305181,8.8376,16.3862,4.21011,0,30.7366,2.24541,0.95881,0.907609,88.2065,
296,195.514,530.429,1391.36,0.368597,16.4113,92.709,6.94991,31.6191,29.8027,4.87582,0,108.037,4.34322,8.53933,93.7185,133.423,51.8985,463.256,28.5063,12.3401,63.3111,2.9112,0,277.503,1.78999,36.5793,457.759,187.072,3.53854,0.379391,0.436829,2.01298,16.3962,4.21011,0,32.9527,3.89201,0.95881,0.90417,88.2065,
297,195.509,369.194,1099.39,0.529555,11.4106,52.1829,5.30042,30.8861,24.7777,4.52459,0,64.1196,4.12909,4.90629,53.083,113.874,52.4736,363.264,31.753,4.9581,47.6941,1.95845,0,152.823,1.37879,28.0992,370.403,174.099,3.54287,0.378268,0.436829,7.61548,16.3843,4.21005,0,32.3316,3.89201,0.958926,0.90149,88.2241,
298,195.509,344.437,940.615,0.567619,6.8315,37.6344,1.84242,33.35,20.9765,4.58415,0,75.4157,4.04736,3.35179,38.2509,118.152,21.8436,259.782,9.10383,27.9802,31.9855,2.22714,0,176.182,1.14404,19.2303,261.947,187.879,3.55212,0.378268,0.436829,9.46102,16.3843,4.21005,0,45.3554,3.05396,0.958926,0.90046,88.2241,
299,195.509,354.471,854.081,0.551551,12.8133,35.0221,5.89654,30.7731,28.573,4.59135,0,72.9595,4.14996,6.39762,35.5479,117.746,50.6471,227.781,34.5166,4.15297,61.1279,2.53524,0,174.469,1.39938,30.7068,228.079,213.878,3.55212,0.378268,0.436832,7.88885,16.3843,4.21005,0,31.2732,3.89233,0.958926,0.90046,37.6275,
300,195.508,435.569,1170.21,0.448856,14.7256,69.6817,5.52173,33.8975,26.5685,4.52558,0,81.1654,4.09904,7.83941,70.7197,116.825,53.2227,416.698,28.7083,23.0449,54.29,2.40081,0,200.751,1.20066,37.3149,417.075,172.92,3.54199,0.377218,0.436829,10.6781,16.3724,0.751912,0,30.2018,3.06453,0.958926,0.898358,88.2241,
301,195.499,493.881,1377.56,0.395843,14.1842,98.9967,6.281,31.5145,24.1408,4.73355,0,70.5015,4.22679,3.30215,99.916,136.084,50.7572,476.338,27.7603,13.6896,42.2458,2.75647,0,118.172,1.50712,14.4511,474.597,235.902,3.54199,0.37554,0.436832,8.12805,16.3864,1.76846,0,45.3466,3.89233,0.959378,0.894705,88.2263,
302,195.499,278.774,711.55,0.701282,11.9672,20.5005,4.07669,32.0428,18.9553,4.42815,0,55.1017,4.24247,2.2832,21.0386,104.137,58.6396,211.498,31.7742,13.3763,21.187,1.5645,0,84.1522,2.68949,9.94567,211.773,130.917,3.54199,0.37554,0.436779,6.86151,16.3672,4.20946,0,45.3466,3.89233,0.959269,0.894705,88.2263,
303,195.499,369.871,970.048,0.52856,12.4982,34.8132,4.31097,46.0959,23.4094,4.619,0,83.5134,4.01977,3.43921,35.6231,117.529,47.1408,320.025,25.7492,151.166,44.5395,2.77658,0,193.105,0.84174,21.6163,322.172,205.148,3.54199,0.37554,0.436832,11.46,16.3947,4.21008,0,45.3466,3.89233,0.959146,0.894705,88.1999,
