Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
106,13.8282,52.3479,183.601,0.264159,0.266562,11.2784,30.9632,0.312234,2.97442,1.15028,0.710376,4.05538,0.436408,0.200661,0.194279,46.7164,108.002,0.615564,6.94237,0.892908,2.03329,20.5474,0.123043,0.211392,0.010353,0.14109,9.09216,0.0935201,1.04919,0.463832,0.0348222,0.0116162,0.388317,0.0388803,
107,13.8282,31.4717,85.7528,0.439384,0.297782,4.53244,18.6031,0.364006,2.85778,1.11388,0.603587,2.43055,0.413077,0.255509,0.83859,16.2939,54.6991,0.89041,6.09962,0.358962,1.90946,11.0647,0.0567592,0.511629,0.010353,0.14109,9.16875,0.094976,1.30173,0.463832,0.0377583,0.0116162,0.105744,0.0388803,
108,13.8282,37.6417,94.5072,0.367363,0.224658,12.5141,15.4276,0.378287,4.24586,1.10805,0.453017,2.64276,0.422009,0.225406,0.192375,49.4802,32.6208,0.857904,11.0906,0.304677,0.830003,10.2508,0.0537536,0.29318,0.010353,0.14109,5.43315,0.094976,1.16455,0.463832,0.0226992,0.0116162,0.376516,0.0388803,
109,13.8282,20.9543,38.0834,0.659921,0.226212,2.56513,12.6013,0.254496,2.27341,1.04158,0.311866,1.09801,0.411471,0.170835,0.248824,12.1334,19.2186,0.570069,5.13132,0.247233,0.29308,6.17611,0.0354349,0.15882,0.010353,0.14109,9.16875,0.094976,0.976619,0.463832,0.038842,0.0116162,0.193278,0.0388803,
110,13.8282,34.6979,134.992,0.39853,0.261172,3.81988,23.7842,0.225674,3.02026,1.08899,0.600323,1.29833,0.433325,0.165751,0.381751,16.3381,97.221,0.354203,9.96386,0.558601,1.9068,7.66668,0.116978,0.130713,0.010353,0.14109,9.16875,0.0914416,0.887347,0.463832,0.038842,0.0102662,0.388317,0.0388803,
111,13.8282,44.8984,134.112,0.307988,0.39989,11.4394,19.7045,0.434065,6.49022,1.03516,0.499786,4.25221,0.427582,0.215621,0.718624,49.2672,48.9643,1.09936,20.75,0.345287,1.09073,21.6539,0.0597078,0.386229,0.010353,0.14109,9.16875,0.094976,1.12953,0.151837,0.0275321,0.0116162,0.388317,0.0388803,
112,13.8282,32.1476,117.856,0.430146,0.25908,6.98783,15.7872,0.27562,4.0886,1.01529,0.405897,2.72116,0.420043,0.186937,0.301767,39.5938,41.4424,0.847541,17.4757,0.166667,0.877427,17.5202,0.0193118,0.307687,0.010353,0.14109,9.16875,0.094976,1.08764,0.463832,0.038842,0.0116162,0.388317,0.0388803,
113,13.8282,52.8538,156.863,0.26163,0.387382,14.0835,23.0293,0.368201,7.37687,1.1062,0.548504,5.32627,0.40474,0.222863,0.6659,58.2891,55.5094,0.86987,23.3522,0.473855,1.72745,21.328,0.0513736,0.324853,0.010353,0.14109,9.16604,0.0859934,1.14773,0.391171,0.038842,0.0116162,0.121719,0.0388803,
114,13.6995,67.2137,206.629,0.20382,0.307278,13.7413,38.4547,0.37202,6.58002,1.08333,0.477613,5.52253,0.434099,0.240721,0.302726,53.803,112.767,0.801218,20.0432,0.385562,1.12191,22.626,0.0829834,0.451807,0.010353,0.14109,9.17283,0.094976,1.11281,0.463832,0.038842,0.0116162,0.388317,0.0388803,
115,13.6995,42.2775,188.073,0.324037,0.291328,7.17751,22.8371,0.324865,4.14388,0.978464,0.545108,5.36404,0.426049,0.189155,0.325948,39.783,91.9973,0.753475,17.8355,0.204576,2.15001,36.1355,0.0656895,0.445935,0.010353,0.14109,9.17283,0.094976,1.0032,0.436367,0.015749,0.0116162,0.388317,0.0388803,
116,13.6995,63.2008,165.124,0.216761,0.508584,11.5929,35.8341,0.417327,8.14748,1.06974,0.911061,4.00146,0.409132,0.308983,1.07788,50.0337,102.319,0.964193,24.1562,0.2323,2.10522,13.7593,0.079789,0.578249,0.0110194,0.121376,9.17283,0.0893882,1.17999,0.436367,0.038842,0.0116162,0.123739,0.0388803,
