Individual,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_gain_roll_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.tie_rod_angle_top_view_l,Steering.front.ackerman_angle,2in Heave.front.rocker_p_rod_angle_l,2in Heave.front.rocker_coil_over_angle_l,2in Heave.front.p_rod_length_l,2in Heave.front.coil_over_length_l,2in Heave.front.tie_rod_angle_top_view_l,2in Heave.front.toe_angle_l,2in Heave.front.side_view_swing_arm_angle_l,2in Heave.front.roll_center_gnd.z,2in Heave.front.motion_ratio_heave_l,
48,0.520086,35.0611,5.69115,14.8638,2.50054,0.00203695,0.173994,0.0324381,0,46.2966,1.99919,3.77768,1.2316,31.1632,4.04906,
49,0.523509,35.0608,5.69107,14.8692,2.50015,0.00266523,0.171649,0.0343684,0,46.308,1.99878,3.77023,1.23254,31.1628,4.03686,
50,0.523866,35.0607,5.69107,14.8688,2.5005,0.00129511,0.170785,0.0341139,0,46.2879,1.99913,3.77079,1.23354,31.1628,4.05765,
51,0.522215,35.0606,5.69105,14.8667,2.50101,0.000432028,0.17001,0.0356997,0,46.2847,1.99965,3.77393,1.23282,31.1627,4.06134,
52,0.520185,35.0614,5.69128,14.87,2.50116,0.00079587,0.170454,0.0351497,0,46.2844,1.99981,3.76977,1.23208,31.1638,4.06271,
53,0.520663,35.0615,5.69129,14.8645,2.4997,0.00447048,0.170733,0.0344327,0,46.3173,1.99835,3.77626,1.23203,31.1638,4.02793,
54,0.520797,35.0605,5.69104,14.8609,2.50047,0.000948505,0.170741,0.0351111,0,46.2749,1.99913,3.78165,1.2328,31.1627,4.07147,
55,0.521838,35.062,5.69148,14.8723,2.50046,0.000665451,0.173002,0.0331725,0,46.3222,1.9991,3.76729,1.23273,31.1647,4.02223,
56,0.520729,35.0618,5.69133,14.8697,2.50041,0.00165413,0.172991,0.032773,0,46.3127,1.99904,3.77026,1.23188,31.1641,4.03396,
57,0.520326,35.0616,5.69129,14.868,2.49965,0.00293544,0.170364,0.0362291,0,46.3259,1.99827,3.77278,1.23207,31.1639,4.01998,
58,0.520078,35.0616,5.6913,14.8686,2.50052,0.00102526,0.169794,0.037109,0,46.3048,1.99915,3.77174,1.23118,31.1639,4.04239,
59,0.520131,35.0612,5.6912,14.8663,2.50012,0.00219886,0.170628,0.0359374,0,46.2993,1.99877,3.77442,1.23209,31.1634,4.04757,
60,0.520116,35.0618,5.69134,14.8684,2.50051,0.00105352,0.175525,0.0312702,0,46.3023,1.99915,3.77202,1.23144,31.1641,4.04431,
61,0.523491,35.0605,5.69097,14.8689,2.50067,0.000709641,0.170221,0.0392928,0,46.3174,1.99931,3.77033,1.23256,31.1623,4.0266,
62,0.520468,35.061,5.69107,14.8609,2.50015,0.00275268,0.170676,0.0353793,0,46.3202,1.9988,3.78102,1.23188,31.1629,4.02612,
63,0.525551,35.0595,5.69069,14.8632,2.50034,0.00297491,0.17085,0.0342803,0,46.3129,1.99898,3.7774,1.23324,31.1611,4.03236,
64,0.521832,35.0609,5.69111,14.8712,2.50046,0.00113547,0.16964,0.0365567,0,46.2953,1.99909,3.76799,1.23233,31.163,4.05287,
65,0.524771,35.0592,5.69062,14.8613,2.50075,0.00122397,0.170269,0.0352134,0,46.3001,1.99939,3.78041,1.23303,31.1608,4.04635,
66,0.522259,35.0614,5.69125,14.8716,2.50027,0.00159559,0.17048,0.0345029,0,46.2887,1.9989,3.76771,1.23186,31.1636,4.05932,
67,0.518462,35.0625,5.6915,14.8642,2.5005,0.000960641,0.169724,0.0372773,0,46.2923,1.99915,3.77787,1.23091,31.1649,4.05321,
68,0.519226,35.062,5.6914,14.8656,2.49997,0.00326507,0.170661,0.0357374,0,46.3071,1.99862,3.77555,1.23188,31.1644,4.03834,
69,0.518762,35.0626,5.69162,14.8747,2.50076,0.00133672,0.171173,0.0355858,0,46.2825,1.99939,3.76481,1.23201,31.1653,4.06321,
70,0.521637,35.0613,5.6912,14.869,2.4996,0.00333417,0.167848,0.0393353,0,46.3065,1.99821,3.77114,1.23105,31.1634,4.0401,
71,0.522563,35.061,5.6911,14.868,2.50019,0.00244898,0.171441,0.0338935,0,46.2945,1.99883,3.77177,1.23249,31.163,4.05251,
72,0.520502,35.0622,5.69144,14.8691,2.49993,0.00371537,0.171895,0.0334302,0,46.3277,1.99855,3.77093,1.23213,31.1646,4.01777,
73,0.519899,35.0626,5.69155,14.872,2.50101,0.000136263,0.17101,0.0348454,0,46.2961,1.99964,3.76764,1.23132,31.1651,4.05111,
74,0.519758,35.0621,5.69143,14.8694,2.50004,0.00232312,0.171351,0.0349211,0,46.3032,1.99866,3.7709,1.23145,31.1645,4.04391,
75,0.520927,35.0616,5.6913,14.8683,2.50109,0.000127983,0.173613,0.0325774,0,46.307,1.99974,3.7718,1.23153,31.1639,4.04048,
