Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.roll_center_gnd.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.roll_center_gnd.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.roll_center_gnd.z.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
176,31.033,41.7052,65.3518,0.744102,1.34403,1.17153,3.74593,0.282424,23.6836,0.103677,9.25776,0.992258,0.184452,0.939622,0.319329,0.506862,4.81562,1.35551,3.68486,0.454569,59.6857,0.00391498,1.1906,0.876094,1.27924,1.07157,2.76437,0.00950874,13.5172,0.0161246,0.0131144,0.991759,8.27526e-05,0.780646,
177,31.0329,115.356,333.582,0.269019,1.41327,1.16147,3.84796,0.492129,23.1467,0.22446,81.2051,0.993095,1.60279,1.26875,0.447701,0.488788,4.64095,1.66735,4.16332,0.74048,333.736,0.00483408,6.53931,1.84194,1.27923,0.975274,2.76437,0.00950874,0.23452,0.0161201,0.0130996,0.991759,8.27526e-05,0.780646,
178,31.0329,60.5666,183.201,0.512377,1.33394,1.08934,2.78093,0.260574,24.2322,0.120792,28.1861,0.993035,0.559105,1.01067,0.279577,0.176823,0.731478,1.2607,3.48238,0.535543,187.59,0.00627588,3.67496,1.185,1.27923,0.833167,0.815241,0.00950956,10.9849,0.0161201,0.0130857,0.991759,8.26827e-05,0.780646,
179,31.0329,113.091,340.895,0.274406,1.33926,1.08804,3.61465,0.571633,23.7643,0.202176,78.5658,0.99391,1.54486,1.4064,0.294246,0.112937,4.36658,1.87118,2.75808,0.696871,334.988,0.0102259,6.57471,2.29474,1.00944,0.759605,2.76437,0.00950808,12.2769,0.0160769,0.0130623,0.985284,8.32514e-05,0.780636,
180,31.0329,85.6306,275.204,0.362404,1.34083,1.10891,3.10066,0.252109,23.6787,0.157379,53.0438,0.992012,1.04643,0.909812,0.301765,0.208867,2.30928,1.21219,2.2139,0.975514,268.673,0.00559036,5.28981,0.837938,1.27923,1.07157,2.76437,0.00950743,9.86246,0.0161201,0.0130623,0.972475,8.3378e-05,0.780648,
181,31.0329,78.5491,225.825,0.395077,1.38112,1.10545,3.69255,0.473832,23.252,0.151125,45.4051,0.993115,0.903148,1.19166,0.404544,0.260197,4.79425,1.99132,3.47198,0.677174,219.53,0.00602299,4.366,1.69261,1.27923,0.914036,1.01238,0.00950316,6.69605,0.0161496,0.0130119,0.991759,8.36567e-05,0.78065,
182,31.0329,108.534,313.951,0.285929,1.37827,1.08624,3.45431,0.413355,23.3407,0.254741,75.1531,0.991948,1.48732,0.973714,0.39285,0.108845,3.18866,1.6946,3.17317,1.10734,306.421,0.00169481,6.05119,0.971697,1.27923,1.02378,2.76437,0.00950316,8.17555,0.0161496,0.0130119,0.989611,8.39443e-05,0.78065,
183,31.0329,291.649,1824.31,0.106405,1.30631,1.10887,2.98044,0.207742,283.452,0.0303824,0.562583,0.993649,0.0109701,0.995992,0.200419,0.26209,1.55483,1.40181,1834.32,0.245202,41.3341,0.0133432,1.44809,1.50741,1.27923,1.07157,2.76437,0.00950316,24.1061,0.0161511,0.0130119,0.991759,8.35283e-05,0.780643,
184,31.0329,135.987,374.206,0.228205,1.39591,1.20096,3.42673,0.682835,23.6591,0.206586,101.139,0.991861,1.9888,1.29508,0.411,0.58672,3.05611,2.33152,257.202,0.74419,374.207,0.00881048,7.06394,1.9284,1.27923,1.02677,2.70828,0.00950316,10.9759,0.0160868,0.0130119,0.963017,8.36006e-05,0.780622,
185,31.0329,85.8354,212.33,0.361539,1.39916,1.21575,3.85813,0.608639,23.4154,0.111801,52.0251,0.991334,1.03575,1.17435,0.415274,0.549461,4.55159,2.19522,3.03954,0.403357,209.941,0.00634351,4.14962,1.53495,1.27922,1.07157,1.66738,0.00950316,10.1633,0.0160868,0.0130119,0.958034,8.36006e-05,0.780622,
186,31.0329,102.49,333.342,0.302788,1.34779,1.08751,3.074,0.426255,26.5508,0.127046,66.5674,0.994894,1.30438,1.01027,0.326927,0.185278,1.96613,1.78813,18.915,0.503674,323.627,0.0164319,6.35795,0.98035,1.27921,0.674506,2.76437,0.00950528,16.1595,0.0160868,0.0130202,0.991759,8.42819e-05,0.780622,
187,31.0329,52.0782,147.317,0.595891,1.30914,1.11793,3.06955,0.255044,23.8335,0.0224999,20.2164,0.991201,0.40175,0.861099,0.209317,0.325963,2.13616,1.7186,2.65879,0.112266,145.073,0.00537627,2.94776,0.567884,1.27921,1.07157,2.76437,0.00951147,10.4662,0.0160801,0.0130668,0.963854,8.39668e-05,0.780622,
