Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.camber_angle_gain_roll_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.camber_angle_gain_roll_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.camber_angle_gain_roll_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
113,12.3534,77.3723,327.246,0.159662,6.65661,11.5967,1.43675,8.62377,0.944362,2.9357,21.382,21.221,2.57531,19.6884,35.8296,1.61639,12.7033,0.165199,9.37932,136.929,136.029,1.43654,0.835946,1.76198,0.938077,5.19732,0.331225,0.223711,0.0398487,0.012653,2.04001,
114,12.3534,27.9462,108.634,0.442042,2.3243,4.69248,1.05264,6.47187,0.933817,0.690149,4.74127,4.71007,2.32966,10.2631,21.4308,0.48631,8.88551,0.0829896,3.44564,32.7265,36.5352,0.815727,0.828796,1.76916,0.944331,5.196,0.357718,0.224812,0.0413284,0.012653,2.20733,
115,12.3502,103.223,444.871,0.119646,3.49559,7.82828,1.30026,6.96079,0.919503,0.742691,39.9534,39.6967,2.32555,12.9788,29.778,1.68178,8.60855,0.128647,2.97778,193.567,197.526,0.747722,0.828796,1.76916,0.918011,5.196,0.289267,0.224812,0.0413284,0.012653,2.20733,
116,12.3498,85.1235,471.632,0.145081,3.2978,2.86238,1.30241,7.22839,0.921792,1.52781,33.109,32.4766,2.39729,11.9598,7.19792,1.68423,11.3307,0.116842,7.1847,228.482,224.471,1.09963,0.828115,1.76973,0.930341,5.19596,0.338859,0.224812,0.0420758,0.012653,2.20733,
117,12.3459,87.8571,480.638,0.140522,3.1101,4.66257,1.15995,6.3012,0.940304,1.62771,34.1581,33.3814,2.5157,11.8895,16.1439,0.899962,5.41933,0.0501495,6.64689,233.364,228.218,1.4684,0.825136,1.76973,0.907554,5.19532,0.618414,0.224812,0.0420758,0.012653,2.21005,
118,12.3282,127.794,534.65,0.0964694,5.82966,5.04276,1.5174,7.88835,0.917989,1.63827,51.5884,50.7951,2.57634,16.9093,16.2434,1.98362,12.1977,0.119352,6.31386,260.032,254.957,1.72587,0.808913,1.77908,0.930341,5.196,0.3356,0.249861,0.0477831,0.0149263,1.01883,
119,12.3222,43.4355,217.415,0.283691,2.19936,1.9011,1.02843,5.68614,0.93359,0.586132,14.4118,14.3752,2.31367,10.1181,3.19841,0.566039,3.89191,0.0864239,2.14976,102.828,106.588,0.724913,0.808913,1.77908,0.930341,5.19538,0.338051,0.268061,0.0492707,0.0149263,2.20879,
120,12.3071,31.7261,114.075,0.387918,3.85908,2.70833,1.44462,7.12411,0.948791,0.409105,6.48166,6.45012,2.30027,14.773,4.57385,2.32515,10.5515,0.139728,0.694967,44.2499,44.2886,0.420613,0.808913,1.77883,0.922818,5.19509,0.33054,0.263721,0.0492707,0.0149263,2.20879,
121,12.3071,63.9247,312.22,0.192525,3.50229,4.84102,1.22824,7.65581,0.920394,1.18876,21.1947,21.1006,2.29294,13.1149,19.5782,1.4339,12.1912,0.128058,4.65527,142.033,142.426,0.392811,0.808913,1.77883,0.922818,5.19363,0.260019,0.263721,0.0492707,0.0149263,2.20805,
122,12.2993,84.0336,501.854,0.146361,1.92376,4.02897,1.10284,5.81712,0.937864,1.1245,33.7573,33.0083,2.33296,7.81777,15.6706,0.908607,4.68646,0.0581046,5.80683,236.571,231.228,0.812844,0.798018,1.77883,0.935353,5.19573,0.549217,0.263506,0.0492707,0.0149263,2.20879,
