Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,Roll.front.side_view_swing_arm_angle_l.best,
64,54.0807,137.82,435.373,0.392401,9.33373,5.26145,0.390517,34.8967,3.22551,37.6799,2.56624,7.0455,37.4202,11.6884,19.2438,1.20095,4.5887,15.2247,195.619,0.792099,4.60526,194.327,6.81869,1.99172,0.00740132,7.10698,0.436543,0.0174244,2.39298,6.20746,0.0114226,
65,54.0807,128.434,355.379,0.421077,11.0966,5.19806,0.624839,36.8523,3.09363,29.8526,2.45781,9.64429,29.614,16.617,16.071,2.06069,14.3145,12.5951,156.676,0.417952,14.6105,156.442,6.81869,1.99172,0.00740132,12.077,0.434706,0.0174244,1.29953,6.17364,0.0149753,
66,53.8789,105.945,299.111,0.508553,8.9927,2.72027,0.62261,34.8318,0.991121,22.8021,2.5137,9.74479,22.7264,11.2693,4.25461,2.30128,5.144,3.4722,137.214,0.466717,17.8498,137.473,6.77663,2.01121,0.00499838,10.8496,0.420986,0.0174244,2.3932,6.20746,0.0148544,
67,53.8789,194.421,650.597,0.277125,10.4335,6.80431,0.384308,35.3731,3.62991,63.4042,2.66394,10.0517,61.6763,13.694,22.768,1.15211,5.90968,14.697,303.989,1.38953,17.9109,297.866,6.81799,2.00025,0.00499838,12.2547,0.420986,0.0174244,0.835176,6.20842,0.0148544,
68,53.8789,183.423,603.152,0.293741,10.7568,4.02751,0.54017,36.4543,4.53078,57.9582,2.82121,9.56328,56.771,15.1156,9.30528,1.72698,11.9424,17.3098,282.046,1.83018,16.399,275.146,6.81799,1.99096,0.00499838,13.3731,0.42081,0.0174244,2.3932,6.20842,0.0148544,
69,53.8789,124.635,357.343,0.432293,10.0727,8.9194,0.606365,37.2766,5.35007,24.913,2.45138,10.2906,24.7553,13.4446,31.6161,1.94694,18.136,19.5422,152.511,0.651644,18.3286,152.837,6.75666,2.0109,0.00499838,9.3325,0.42081,0.0174244,0.57032,6.20842,0.00729539,
70,53.8789,163.331,450.27,0.329876,12.2687,5.08589,0.523773,37.8838,8.69948,43.6327,2.45077,9.49396,43.2916,18.147,15.0413,1.47951,17.036,30.7236,200.401,0.380366,12.1261,198.831,6.75666,2.0112,0.00499838,4.0921,0.420986,0.0181926,0.799921,6.20112,0.00729539,
71,53.7898,181.996,457.665,0.295554,12.5408,9.11292,0.587263,33.8673,5.8334,52.4915,2.59595,12.673,52.2942,19.2387,34.1301,1.84505,7.37447,19.7253,196.412,0.760931,22.6812,195.749,6.68426,2.00775,0.00249731,10.1652,0.4199,0.0181926,2.39572,6.20842,0.00729539,
72,53.7345,186.921,548.507,0.287472,12.0687,9.55288,0.649411,35.0529,3.55744,56.1552,2.63856,11.7432,55.5028,16.3236,27.4896,1.97835,6.22543,10.8298,257.248,1.23192,20.7057,253.126,6.66636,2.00775,0.00249731,12.4978,0.4199,0.021808,1.08305,3.73496,0.00729539,
73,53.7345,111.667,291.951,0.481202,9.67499,3.26399,0.481465,35.3611,5.67228,21.9708,2.59898,10.7519,21.8919,13.8915,7.87424,1.65715,6.38238,22.7181,132.114,1.08193,19.8987,129.235,6.6794,2.00775,0.000612904,10.7687,0.419846,0.021808,1.78449,6.20294,0.00729539,
