Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Roll.rear.side_view_swing_arm_angle_l.best,
39,126.928,616.154,1051.78,0.206001,5.2981,53.3752,36.4678,209.396,104.45,207.167,1.31729,105.054,71.8601,465.79,21.0936,452.126,2.10258,2.50095,1.71017,1.29367,24.0853,0.426762,
40,126.928,373.045,615.251,0.340249,5.36613,25.9516,32.1703,103.191,104.257,102.11,1.5022,81.4804,87.409,283.935,24.6218,295.418,2.72318,2.4044,1.71017,1.29367,18.5811,0.426762,
41,126.928,712.272,1044.34,0.178202,5.3766,67.7082,72.2847,235.087,104.023,227.792,1.71997,120.713,158.712,419.574,21.593,437.205,1.97112,2.50095,1.71017,1.29367,28.7993,0.426762,
42,126.928,405.677,805.968,0.31288,5.25997,38.57,38.444,107.721,108.963,106.719,1.29519,111.681,108.865,375.632,18.6081,361.44,3.20126,2.44396,1.60689,1.29367,24.0898,0.426762,
43,125.662,447.803,780.443,0.280618,5.01051,53.9056,47.2873,123.462,101.506,116.632,1.15221,108.775,112.378,322.181,31.6328,323.175,1.99474,0.699011,1.70929,1.29367,8.73578,0.426762,
44,125.662,416.104,720.672,0.301996,5.08657,45.099,43.5337,113.102,104.699,104.583,1.64349,107.402,115.192,307.501,26.0395,294.122,2.06725,1.95567,1.58441,1.29367,15.1455,0.426762,
45,125.662,550.56,898.852,0.228243,4.81187,24.347,70.4376,174.498,103.358,173.108,1.50904,72.1506,151.767,384.514,25.4324,367.712,2.60897,0.411661,1.60069,1.29367,20.0284,0.426762,
46,125.662,394.812,653.984,0.318282,4.90983,29.1602,50.0773,101.762,104.433,104.469,1.39472,79.2099,126.29,290.753,26.3455,312.94,3.48025,0.49506,1.70929,1.29367,18.4408,0.426762,
47,125.662,405.803,755.62,0.309661,4.54114,34.1125,46.0568,108.1,106.163,106.83,1.21065,92.6357,109.625,295.829,22.2828,294.588,2.25003,2.50095,1.70929,1.29367,18.9156,0.424464,
48,125.662,635.354,1073.83,0.197782,4.74179,49.6731,37.1794,223.345,100.71,219.704,1.49992,112.607,72.6022,450.766,29.4701,470.205,3.18245,2.27628,1.71017,1.29367,21.896,0.424464,
49,125.662,572.697,902.637,0.21942,4.9649,74.2236,46.6107,167.177,105.753,173.969,1.80629,162.992,106.49,372.667,23.5723,370.17,2.79497,2.50095,1.63169,1.29367,17.2501,0.416698,
50,125.662,437.396,834.371,0.287295,4.94635,41.9264,37.6733,125.011,109.081,118.758,1.76979,125.815,101.233,338.617,17.302,327.764,2.91797,2.07121,1.6194,1.38873,18.6916,0.416698,
51,125.662,321.507,644.664,0.390852,4.613,21.1069,35.0277,75.9587,110.921,73.8793,1.17449,78.2667,105.225,263.566,14.1941,255.926,2.3188,2.34232,1.52526,1.38873,22.0583,0.416698,
52,125.662,415.578,906.912,0.302378,4.55234,31.0192,21.419,126.566,109.763,122.259,1.37651,95.3158,58.1135,396.163,14.3049,375.732,2.22783,2.34739,1.52526,1.41444,37.3565,0.425392,
53,124.966,408.506,747.17,0.30591,4.61244,32.3896,31.7819,118.17,104.817,116.735,1.18449,75.6386,84.7349,315.666,24.8858,314.345,2.04211,3.48824,1.24194,1.41444,21.1734,0.425392,
54,124.966,673.904,1058.3,0.185436,4.97349,60.6071,72.1722,219.139,101.716,215.297,1.69181,138.207,141.888,421.595,27.3188,434.089,2.41841,2.16513,1.24194,1.02863,11.1114,0.321595,
55,124.966,550.705,1001.04,0.22692,4.67906,42.6552,38.5316,183.338,100.778,180.723,1.47641,101.455,88.7125,443.642,29.7065,445.309,2.86105,2.3466,1.24194,1.43331,7.80446,0.431451,
56,124.966,332.955,608.934,0.375323,4.56755,20.6124,16.2379,93.5896,106.211,91.737,1.41977,71.0046,48.696,300.419,22.2704,297.581,2.41872,2.14603,1.24194,1.37047,18.9105,0.406772,
57,124.966,699.939,1112.94,0.178538,4.65261,52.8817,48.6627,248.871,100.081,244.79,1.17088,110.793,101.521,446.666,29.5235,444.54,3.3284,3.30719,1.24194,1.37047,18.7789,0.406772,
58,124.966,587.441,1036.21,0.212729,4.75962,56.3392,20.5225,208.82,102.46,194.539,1.88972,152.527,56.5009,469.082,28.1019,447.792,2.274,3.46391,1.24194,1.37047,20.4111,0.406772,
59,124.966,606.17,998.304,0.206156,4.82926,51.6247,42.9948,203.459,101.487,201.776,1.86529,112.103,117.424,436.198,28.3616,433.818,2.36339,3.46391,1.21713,1.37047,17.9647,0.406772,
60,124.966,340.186,614.428,0.367346,4.39306,31.3038,52.696,75.5254,106.841,69.4265,1.63639,105.822,129.336,286.718,22.7033,261.37,2.24513,1.68635,1.21713,1.37047,16.3229,0.406772,
61,124.868,550.624,1028.21,0.226775,4.35973,51.6396,52.0882,171.937,103.803,166.796,1.15445,118.387,119.604,414.822,25.6892,429.549,2.80559,3.46391,1.21713,1.37047,18.366,0.406772,
62,124.868,600.834,1006.53,0.207824,4.5572,30.6794,56.1544,202.785,104.857,201.801,1.32855,78.4233,124.143,424.3,20.2879,423.391,2.27929,1.8443,1.21713,1.37047,19.0726,0.406772,
63,124.868,474.816,847.567,0.262982,4.73559,35.2273,45.9802,144.271,103.285,141.317,1.65486,89.2606,111.952,371.555,24.8459,366.06,3.36345,1.95267,1.21713,1.37047,23.8187,0.406772,
