Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.toe_angle_l.best,
11,1143.64,3005.57,985.407,0.380505,42.7638,0,292.728,268.713,18.3947,1437.81,269.311,411.715,264.136,23.2823,0,592.196,200.819,9.86495,569.896,201.234,337.112,197.855,3.05361,0,5.4314,3.78832,3.67429,646.191,5.8274,7.12288,4.15782,
12,1143.64,2819.56,809.426,0.405608,40.3622,0,236.43,257.196,18.1307,1361.27,257.688,402.608,245.877,21.4247,0,180.165,209.957,10.0283,519.139,210.048,330.572,179.673,3.05361,0,5.4314,3.78832,3.67429,646.191,5.8274,7.12288,4.15782,
13,1143.64,2878.51,1692.44,0.397302,38.473,0,305.001,264.441,18.1845,1328.06,265.123,400.541,258.688,19.6206,0,994.871,211.663,10.0066,496.367,212.011,338.714,235.376,3.05361,0,5.4314,3.78832,3.67429,646.191,5.8274,7.12288,4.15782,
14,1143.64,2699.4,913.478,0.423663,35.8047,0,223.723,260.884,18.2106,1262.64,261.574,381.662,254.902,18.7145,0,185.046,237.01,10.1963,465.693,238.091,314.513,243.001,3.05361,0,5.4314,3.78832,3.67429,646.191,5.8274,7.12288,4.15782,
15,1057.53,2570.99,831.882,0.411333,35.7173,0,222.397,227.257,18.4433,1238.46,227.71,373.566,227.434,18.6934,0,165.497,181.948,10.3952,456.377,182.043,318.976,203.182,2.79566,0,5.4314,3.78832,3.67429,646.191,5.8274,7.12288,4.15782,
16,1057.53,2622.94,1396.73,0.403185,34.5984,0,220.473,240.426,18.2227,1253.99,241.141,379.183,234.912,19.2206,0,176,250.15,10.3678,745.775,249.832,317.818,299.3,2.79566,0,5.4314,3.78832,3.67429,646.191,5.8274,7.12288,4.15782,
17,1057.53,2835.26,4152.61,0.372994,33.67,0,567.193,220.264,17.4646,1194.71,220.699,372.471,208.786,19.3345,0,3426.09,190.016,10.2385,486.958,191.64,329.824,211.216,2.79566,0,2.5437,3.78832,3.67429,646.191,5.8274,7.12288,4.15782,
18,1057.53,2425.04,1865.06,0.436089,31.4359,0,312.771,200.376,16.6612,1124.43,200.816,352.472,186.079,18.0481,0,1438.83,164.389,10.3586,402.799,165.38,298.974,130.855,2.79566,0,2.5437,3.78832,4.01642,646.191,5.8274,7.12288,2.79568,
19,1057.53,2276.13,654.331,0.464619,29.7647,0,206.984,204.285,16.1737,1088.44,204.771,336.064,189.648,17.0344,0,173.942,166.006,10.3382,367.44,165.479,282.379,165.944,2.79566,0,2.5437,3.78832,3.90607,646.191,5.8274,15.7734,4.10378,
20,1057.53,2372.17,1514.41,0.445809,28.6845,0,209.051,229.366,16.1744,1115.98,230.023,324.915,217.971,16.3162,0,137.029,284.38,10.2867,662.175,286.618,256.329,330.328,2.79566,0,2.5437,3.72406,4.01642,646.191,4.25469,15.7734,4.10378,
21,1057.53,2263.84,1209.93,0.467141,27.7768,0,231.681,213.085,16.1665,1046.13,213.876,322.499,192.621,17.6821,0,354.061,219.283,10.4293,452.798,220.951,260.162,220.729,2.79566,0,2.5437,3.72406,4.01642,646.191,4.25469,15.7734,3.3223,
22,912.9,2139.87,1103,0.426614,26.616,0,194.03,201.372,15.7595,1016.18,202.494,298.033,185.391,16.1212,0,128.848,212.275,10.1927,489.107,216.408,262.433,233.845,2.79566,0,2.5437,3.72406,4.20201,646.191,4.25469,15.7734,3.3223,
23,912.9,2086.58,747.142,0.437511,25.8544,0,195.037,186.479,15.9792,998.241,187.257,305.833,171.897,15.6679,0,143.993,169.457,10.4742,359.952,169.448,278.553,184.525,2.79566,0,2.5437,2.17556,4.20201,646.191,2.2866,15.7734,1.48028,
24,912.9,1980.32,774.238,0.460986,25.6294,0,186.77,167.019,14.579,973.544,168.588,285.492,158.696,15.1682,0,134.522,144.141,10.0244,376.215,147.39,253.492,190.88,2.79566,0,2.5437,3.72406,4.20201,646.191,4.25469,15.7734,3.3223,
25,912.9,1996.57,772.309,0.457235,25.5346,0,199.715,173.263,14.6325,972.66,174.042,279.434,157.286,13.5404,0,167.518,184.694,9.97581,299.759,183.652,244.874,164.764,2.79566,0,2.5437,3.72406,4.21025,646.191,4.25469,15.7734,3.3223,
26,912.9,1911.61,613.328,0.477555,25.2491,0,183.548,155.38,13.6846,956.103,156.112,277,144.536,13.4948,0,117.638,154.158,9.57759,272.966,153.943,248.754,118.315,2.79566,0,2.5437,3.72406,4.45882,646.191,4.25469,15.7734,3.3223,
27,912.9,1852.99,507.38,0.492664,24.5515,0,179.085,150.665,14.2361,935.16,151.402,254.673,143.212,12.0474,0,142.516,143.694,10.0248,227.415,144.233,226.453,119.573,2.79566,0,2.5437,3.72406,3.7643,645.144,4.25469,15.7734,3.3223,
28,912.9,1871.54,769.893,0.48778,24.2592,0,183.507,155.6,14.4671,944.044,156.81,243.948,148.904,14.6021,0,136.346,171.559,10.2508,341.56,172.997,196.516,167.492,2.79566,0,2.5437,3.72406,4.03025,645.144,4.25469,15.7734,2.12907,
29,912.9,1929.72,1142.98,0.473074,24.6065,0,177.869,165.088,14.6814,972.292,166.348,245.057,163.774,16.0653,0,121.832,204.528,10.2651,464.991,207.284,232.161,257.692,2.79566,0,2.5437,3.72406,4.03025,645.144,4.25469,22.13,2.12907,
30,912.9,1859.78,1173.47,0.490864,23.8116,0,176.027,153.669,14.3336,945.903,154.575,247.152,144.31,14.6003,0,131.128,214.04,10.2706,495,215.895,250.476,217.993,2.79566,0,2.5437,3.72406,4.03025,645.144,4.25469,22.13,2.12907,
31,912.9,1956.01,1883.9,0.466714,24.1337,0,171.469,157.663,14.3678,971.365,163.462,235.424,218.129,16.5914,0,124.136,186.994,10.4034,696.15,198.91,223.351,1015.14,2.77718,0,2.5437,3.72406,4.03025,645.144,4.25469,22.13,2.12907,
32,912.9,1833.48,1642.09,0.497905,22.5331,0,171.515,154.49,14.1151,950.842,155.399,219.611,144.975,13.7737,0,128.387,222.671,10.1768,941.696,226.027,208.791,309.676,2.62319,0,2.5437,3.72406,4.03025,645.144,4.25469,22.13,2.12907,
33,912.9,1709.02,654.476,0.534165,21.6943,0,156.197,145.072,14.0639,889.677,145.844,200.643,135.828,11.2036,0,111.762,170.317,10.1126,265.143,171.543,151.615,189.06,2.62319,0,2.5437,3.78832,4.03025,645.144,5.8274,22.13,2.12907,
34,912.9,1932.1,2903.51,0.472491,21.6413,0,345.587,158.556,13.6405,896.262,159.279,202.694,134.44,12.6268,0,2640.2,197.67,9.82483,316.109,195.489,181.004,186.9,2.62319,0,2.5437,3.78832,4.03025,645.144,5.8274,22.13,2.12907,
35,912.9,1804.29,1294.74,0.505959,22.6978,0,199.652,149.191,14.3068,927.998,150.01,208.374,132.064,15.8349,0,609.745,189.126,10.147,448.601,189.695,207.588,206.008,2.62319,0,2.5437,3.78832,4.03025,645.144,5.05065,22.13,2.12907,
