Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.motion_ratio_heave_l.best,
91,989.428,1337.99,1052.33,0.739487,23.0731,0,46.7195,41.5893,3.07869,964.639,131.813,46.8477,80.2317,11.5346,0,125.522,110.637,2.57177,466.486,225.273,125.233,153.429,11.6239,0,0.610586,0.431993,0.00813906,800.751,25.2804,1.50814,3.564,
92,989.428,1501.44,1779,0.658986,23.7701,0,62.8983,53.7485,3.23008,995.881,157.47,63.9761,140.465,13.6381,0,204.593,168.513,3.00125,554.338,309.125,207.527,885.294,11.6239,0,0.520672,0.431993,0.00813906,814.544,25.2804,0.989747,3.564,
93,989.428,1399.35,1306.7,0.707064,24.6048,0,48.3215,40.2263,3.21653,998.741,156.951,48.7459,78.5405,17.3312,0,156.766,112.63,2.73755,610.501,325.094,159.076,146.542,6.96178,0,0.610586,0.431993,0.00813906,865.007,25.2804,1.24186,3.564,
94,989.428,1445.9,2112.83,0.684299,22.5666,0,66.5947,47.3018,3.19303,945.306,120.73,68.1068,172.1,8.04042,0,205.331,183.128,2.58697,518.816,209.839,209.132,1296.2,11.6239,0,0.610586,0.431993,0.00813906,808.498,25.2804,1.50814,3.564,
95,989.428,1388.03,1394.66,0.712826,23.9862,0,61.4551,40.9834,3.21634,969.802,127.903,62.0008,98.6874,14.2844,0,219.369,160.457,2.63003,520.304,245.046,222.414,323.947,11.6239,0,0.317058,0.431993,0.00813906,806.752,25.2804,0.708631,3.564,
96,989.428,1366.87,1495.41,0.723866,23.4459,0,40.2335,29.4183,3.23746,972.032,127.974,40.4112,130.113,11.4611,0,110.801,65.6617,2.69948,441.517,241.21,113.438,842.991,11.6239,0,0.317058,0.431993,0.00813906,865.007,27.3076,0.708631,3.564,
97,989.428,1362.94,1190.1,0.725951,23.3249,0,56.785,39.6906,3.43373,971.69,132.317,57.514,78.1843,10.7289,0,189.394,125.928,2.92391,431.431,241.052,190.999,155.481,8.0838,0,0.317058,0.431993,0.00813906,865.007,29.6176,0.708631,3.564,
98,989.428,1530.79,2513.36,0.646352,24.2377,0,66.7315,55.4935,3.1887,1081.86,139.311,67.2813,92.6801,14.9859,0,247.646,308.007,2.43088,1530.15,268.182,249.972,190.951,11.6239,0,0.317058,0.431993,0.00813906,818.639,29.6176,0.708631,3.564,
99,989.428,1339.61,1222.12,0.738595,23.5763,0,52.8322,42.4156,3.42277,978.642,121.4,53.2292,64.0895,12.805,0,175.548,140.014,2.58569,517.908,240.12,178.846,97.3486,11.6239,0,0.317058,0.431993,0.00813906,865.007,29.6176,0.708631,3.564,
100,989.428,1329.86,1280.29,0.744009,23.6095,0,45.6216,39.8293,3.34911,989.446,110.052,47.0504,70.9014,14.1057,0,184.059,187.18,2.53713,632.674,196.776,192.167,141.766,11.6239,0,0.317058,0.349837,0.00813906,865.007,29.6176,0.708631,3.564,
101,989.428,1404.77,2597.98,0.704336,22.8218,0,28.5062,29.4988,3.21804,936.636,104.87,28.8577,250.357,11.5372,0,89.2111,100.676,2.28518,426.333,170.703,90.6288,1977.84,11.6239,0,0.317058,0.349837,0.00813906,865.007,29.6176,0.708631,2.96025,
