Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.rear.p_rod_length_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.p_rod_length_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.p_rod_length_l.best,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.side_view_swing_arm_angle_l.best,
38,1005.49,1552.31,1398.48,0.647739,0,15.1185,103.918,67.0236,66.901,3.55125,1081.93,145.052,68.8086,0,21.1955,214.15,173.457,121.417,3.28862,757.407,261.64,180.643,0,3.42837,1.59055,0.306583,1.2234,0.0742782,877.141,23.8696,0.530429,
39,1003.63,2405.06,6820.81,0.4173,0,14.0372,823.577,87.9648,120.089,3.70823,1096.85,169.405,89.4223,0,19.1633,6028.89,235.329,266.606,3.05381,726.811,302.136,235.132,0,3.42837,1.59055,0.306583,1.2234,0.0742782,877.141,23.8696,0.530429,
40,1003.63,1465.15,1266.89,0.685002,0,13.3426,86.2153,60.9351,61.719,3.42526,1035.3,143.041,61.169,0,17.6719,661.952,150.615,121.263,2.49975,629.128,255.099,155.599,0,3.42837,1.59055,0.306583,1.2234,0.0742782,877.141,23.8696,0.530429,
41,1003.63,3291.68,15346.9,0.304899,0,15.0701,1719.73,114.192,84.9324,3.19846,1092.42,147.175,114.96,0,21.2435,14714.4,341.901,247.602,2.93152,774.816,272.91,334.829,0,3.42837,1.59055,0.306583,1.2234,0.0742782,877.141,23.8696,0.530429,
42,1003.63,1696.03,1872.94,0.591753,0,12.9529,142.213,104.629,99.309,3.49334,1044.24,182.037,107.151,0,14.806,818.928,295.782,229.099,3.10855,568.7,346.962,306.772,0,0.352932,1.59055,0.306583,0.635396,0.0742782,876.68,33.3722,0.530429,
43,1003.63,1675.65,2350.09,0.598951,0,12.9283,252.713,84.8812,75.4947,3.01608,1032.02,129.463,85.1264,0,16.1816,1624.23,210.351,155.608,2.57065,588.436,268.218,213.081,0,3.42837,1.59055,0.306583,0.635396,0.0742782,876.68,32.2969,0.530429,
44,1003.63,1405.64,1283.24,0.714003,0,12.4951,69.4637,68.8972,59.5966,2.73966,1008.56,114.849,69.0411,0,16.7182,114.389,196.068,102.856,2.36217,578.861,222.404,198.758,0,3.42837,1.59055,0.306583,0.635396,0.0742782,876.68,33.3722,0.530429,
45,1003.63,2150.99,4292.93,0.46659,0,14.8883,622.467,92.9657,63.342,2.66921,1091.84,169.678,93.1436,0,21.907,3089.64,248.245,123.341,2.58362,784.294,349.148,243.718,0,3.42837,2.93157,0.435292,1.21148,0.0742782,875.533,33.3722,0.530429,
46,1003.63,1585.73,1490.18,0.632912,0,13.0182,100.96,104.042,89.4289,2.59314,1024.98,146.265,104.442,0,15.1383,206.273,272.122,174.269,2.49969,537.063,253.134,275.987,0,3.42837,2.93157,0.435292,1.2234,0.0742782,875.533,31.2768,0.530429,
47,983.157,1843.5,2709.49,0.533311,0,14.2042,343.322,91.7029,71.4013,2.60267,1068.11,160.148,92.0099,0,19.8101,1621.59,250.849,161.524,2.50693,704.694,346.294,251.916,0,3.42837,2.93157,0.435292,0.549292,0.0742782,877.032,31.2768,0.530429,
48,981.846,1683.18,1922.59,0.583329,0,15.9831,82.5259,90.5249,81.27,2.74025,1150.62,168.616,90.9003,0,25.769,170.282,254.454,179.535,2.8118,896.81,374.652,254.984,0,1.86875,2.93157,0.435292,0.549292,0.0742782,876.926,31.2768,0.530429,
49,981.846,1552.3,1598.08,0.632512,0,12.8386,85.416,88.0845,87.9703,2.65881,1047.01,139.873,88.4507,0,17.7353,184.003,264.978,200.851,2.63085,686.004,283.313,266.884,0,3.42837,2.93157,0.419464,0.549292,0.0776222,876.231,31.2768,0.530429,
50,981.846,4365.75,28374.4,0.224898,0,12.6981,2896.43,95.2853,88.1957,2.58674,1029.44,145.369,95.7386,0,15.5196,28148.3,284.567,208.276,2.90329,524.204,312.524,285.248,0,3.42837,2.93157,0.419464,0.549292,0.0776222,876.926,31.2768,0.530429,
