Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Roll.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Roll.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_gain_roll_l.best,Steering.front.tie_rod_angle_front_view_l.best,
15,57.4349,155.427,165.339,0.36953,23.3334,16.457,3.77966,64.2707,0.639116,23.1765,1.28472,19.3139,3.17201,15.6763,11.524,2.88158,147.983,0.730444,4.98701,2.95238,8.74557,1.28496,4.76875,2.52891,0.0461635,0.691128,0.0181716,9.58225,0.00654429,2.52753,1.30491,
16,57.4349,114.329,51.9815,0.502365,14.1481,18.7722,3.81736,31.6419,0.741157,23.9084,0.632849,17.6077,3.05928,11.735,16.6949,3.16507,64.0761,0.586405,4.57316,1.28935,6.1671,1.05129,4.39166,2.54764,0.0461635,0.691128,0.0482495,18.2414,0.00654429,2.52753,0.755076,
17,57.4349,116.478,57.2151,0.493097,15.7522,20.3581,3.65576,28.0215,0.824561,22.9818,0.559768,20.6203,3.70381,13.1678,23.6774,2.6895,40.9808,0.692039,4.46019,0.822694,10.7929,1.55606,5.85905,2.54764,0.0461635,0.691128,0.0423744,12.3096,0.00654429,4.47967,1.17067,
18,57.4349,132.259,258.872,0.434261,16.3056,17.0077,4.09627,46.1006,0.951555,23.7086,0.908186,19.4769,3.70366,13.5801,22.7881,2.90851,223.486,1.0054,6.83692,4.43772,9.45804,1.44635,5.85905,2.52136,0.0429103,0.691128,0.0423744,12.2628,0.00654429,4.47967,1.57909,
19,57.4349,140.73,235.91,0.408122,13.8571,20.6817,3.91067,46.5716,0.990781,30.4843,0.927535,19.38,3.92618,12.5636,34.2428,2.72864,190.031,1.13774,39.2126,3.79394,8.94877,1.30679,5.85905,2.52136,0.0429103,0.691128,0.0176328,9.89562,0.00654429,4.47967,2.28863,
20,55.3113,176.292,311.162,0.313748,15.6027,33.5758,3.33632,77.1511,0.783251,23.3174,1.53651,17.494,3.49522,13.9922,75.3719,2.44578,225.357,0.80514,8.28939,4.48894,7.827,1.35553,1.71203,2.63774,0.0212228,0.846442,0.0185703,0.311724,0.00654429,4.47967,0.864044,
21,55.3113,78.5727,23.3148,0.703951,9.62452,8.95617,2.74245,12.28,0.553445,23.5807,0.242278,17.3053,3.28767,4.43982,24.9306,1.96153,33.3096,0.45866,2.00614,1.34735,2.59808,0.582078,1.71203,2.70448,0.0429103,0.846442,0.0185703,19.8259,0.00654429,4.47967,2.24075,
22,55.3113,111.053,119.974,0.498061,11.203,20.4676,3.00534,26.7789,0.767126,27.2685,0.531788,17.6296,3.40138,11.4218,46.1009,2.22015,62.4197,1.13579,18.3119,1.3007,8.33531,0.829538,1.70041,2.70448,0.0429103,0.809407,0.0452006,13.2405,0.00567975,4.47967,2.30632,
23,55.3113,127.472,303.78,0.433908,10.866,10.8037,2.70044,57.1266,0.741572,23.4817,1.12382,17.4574,3.17107,10.2837,19.9819,1.88572,270.074,0.914917,4.76622,5.32353,6.11431,0.521319,1.71203,3.07356,0.0461635,0.809407,0.0531571,9.81164,0.00567975,4.47967,2.05393,
24,55.3113,119.276,286.364,0.463724,9.46126,9.99686,2.52782,41.5121,0.570451,34.9064,0.810101,16.4237,3.06753,9.88644,25.0777,1.4906,231.703,0.497151,76.4954,4.53589,1.84456,0.383863,1.06577,2.76888,0.0461635,0.809407,0.0179369,23.3267,0.00567975,4.47967,1.38241,
25,55.3113,143.029,293.193,0.386714,10.59,25.2791,2.79018,56.2108,0.692702,23.5012,1.11457,19.5335,3.3169,13.1818,70.7322,2.44326,207.931,0.961625,10.1053,4.20419,10.5462,1.06635,1.06577,3.05715,0.0461635,0.809407,0.0531571,9.70157,0.00567975,4.47967,2.1806,
26,55.3113,135.904,262.045,0.406987,11.1463,21.2158,2.56378,52.3427,0.796773,24.0517,1.04097,19.3698,3.37644,15.7017,55.0314,2.05353,185.703,0.996897,8.27047,3.71275,11.0815,1.35717,1.06577,3.05715,0.00782888,0.809407,0.0531571,12.3099,0.00567975,8.68916,2.21488,
27,53.3147,117.765,201.41,0.452722,10.2956,19.3115,2.96043,35.7857,0.671991,23.2656,0.709047,21.4048,3.36012,14.6319,57.7966,3.12869,161.771,0.966811,4.77955,3.22776,14.6679,0.994102,1.06577,3.05715,0.00426386,0.809407,0.0531571,9.54128,0.00567975,16.4665,2.69191,
