Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Roll.rear.side_view_swing_arm_angle_l.best,
85,1229.1,1745.41,1407.76,0.704191,4.19427,85.8441,14.7979,1479.12,30.5608,65.7183,65.1676,1.64452,208.506,25.0993,956.736,89.5091,182.532,181.862,2.6547,10.3744,2.34175,1168.37,1.20445,0.203383,0.0700041,
86,1229.1,2116.81,1967.26,0.580636,4.13891,146.469,18.067,1624.27,43.1035,140.932,139.833,1.09112,310.187,26.3489,993.128,105.947,330.7,336.281,3.15204,9.87225,6.78726,1202.56,1.20445,0.203383,0.0700041,
87,1229.07,1548.58,968.44,0.793677,4.10025,58.6327,11.4878,1382.79,22.4977,34.8804,34.1933,1.55179,182.27,19.3168,728.192,63.3982,164.586,167.777,2.43758,6.66347,3.2597,1202.56,1.20445,0.207297,0.0700041,
88,1229.05,2500.52,2510.07,0.491516,4.23824,136.922,25.646,1939.47,48.2617,173.515,172.467,1.39594,324.963,38.5215,1501.14,120.351,401.007,410.41,2.66894,9.67667,6.79274,1202.56,1.24342,0.207297,0.0969525,
89,1229.05,2363.3,2422.26,0.520057,4.42851,186.442,20.0029,1725.08,30.2838,200.175,196.883,1.65988,395.631,30.3043,1217.73,84.8883,426.049,421.03,3.36619,13.4311,6.79186,1202.56,1.24342,0.207297,0.0969525,
90,1229.05,2171.89,1944.69,0.565889,4.5799,180.219,17.3605,1686.62,44.2209,122.588,116.301,1.9517,382.201,26.8238,1075.52,101.888,310.546,303.502,2.28378,10.1463,4.85495,1202.56,1.25139,0.207297,0.0969525,
91,1228.94,2253.64,2185.23,0.545315,4.72667,130.095,21.9803,1781.76,31.7564,142.282,141.038,2.30511,352.163,31.8104,1297.76,82.1252,353.357,344.451,3.11891,8.71208,6.79186,1202.56,1.21931,0.207297,0.0609121,
92,1228.94,1861.16,1586.81,0.660308,4.04454,51.9746,16.5453,1571.24,25.386,96.017,95.9538,1.42169,164.722,29.2524,1109.21,74.1012,334.035,329.45,2.58005,6.72632,6.79274,1202.56,1.21839,0.207297,0.0412916,
93,1228.94,2289.72,2039.33,0.536721,4.42695,136.353,18.1193,1642.68,120.525,185.682,181.935,2.12948,327.692,26.5415,1003.8,552.96,376.164,363.933,3.23713,3.08549,6.79274,1202.56,1.21839,0.209579,0.0412916,
94,1228.94,2273.27,2303.02,0.540605,4.39549,150.492,20.1795,1743.98,22.2996,167.564,164.356,1.98052,341.965,31.706,1334.86,67.4973,370.839,363.226,2.06395,7.12453,6.79274,1202.56,1.21839,0.209579,0.0412916,
